,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': 'cnn', 'name': 'CNN'}","Ben Morse, CNN",Polish javelin thrower Maria Andrejczyk auctions Tokyo 2020 silver medal to help eight-month-old get heart surgery,Polish javelin thrower Maria Andrejczyk has auctioned off her Tokyo 2020 Olympic silver medal to fund urgent heart surgery for an eight-month-old baby.,https://www.cnn.com/2021/08/19/sport/maria-andrejczyk-auction-medal-tokyo-2020-spt-intl/index.html,https://cdn.cnn.com/cnnnext/dam/assets/210819042004-01-maria-andrejczyk-olympics-super-tease.jpg,2021-08-19T09:28:32Z,"(CNN)Polish javelin thrower Maria Andrejczyk has auctioned off her Tokyo 2020 Olympic silver medal to fund urgent heart surgery for an eight-month-old baby. 
The 25-year-old finished first in qualif… [+1925 chars]"
1,"{'id': None, 'name': 'VentureBeat'}",Mike Minotti,Chivalry II passes 1 million copies sold,Developer Torn Banner Studios and publishers Tripwire and Deep Silver announced today that Chivalry II has passed 1 million copies sold.,https://venturebeat.com/2021/08/17/chivalry-ii-passes-1-million-copies-sold/,https://venturebeat.com/wp-content/uploads/2021/04/04_MasonGang_Rudhelm_Screenshot_1920-x1080.jpg?w=1200&strip=all,2021-08-17T14:55:14Z,"A new GamesBeat event is around the corner! Learn more about what comes next. 
Developer Torn Banner Studios and publishers Tripwire and Deep Silver announced today that Chivalry II has passed 1 mil… [+1484 chars]"
2,"{'id': None, 'name': 'HuffPost'}",Ryan Grenoble,Polish Athlete Auctions Olympic Medal To Pay For Infant’s Life-Saving Heart Surgery,"""This silver can save lives, instead of collecting dust in a closet,"" Maria Andrejczyk said.",https://www.huffpost.com/entry/polish-olympian-auctions-medal_n_611d545ce4b0c69681043b1c,https://img.huffingtonpost.com/asset/611d56d3280000a4da71dff3.jpeg?cache=szs0nkwolu&ops=1778_1000,2021-08-18T20:51:01Z,"Just over a month after she won silver at the Tokyo Olympics for the javelin throw, Polish athlete Maria Andrejczyk auctioned off her medal to the highest bidder for $125,000.
The cause: life-saving… [+1711 chars]"
3,"{'id': None, 'name': 'Android Central'}",Christine Persaud,What color of the Samsung Galaxy Tab S7 FE should you choose?,"The Samsung Galaxy Tab S7 FE is here! The ""FE"" designation of its name means this mid-range tablet was designed with fan feedback in mind. Still, you might be trying to decide between the Galaxy Tab S7 FE vs. Galaxy Tab S7, and while productivity specs are of…",https://www.androidcentral.com/what-color-samsung-galaxy-tab-s7-fe,https://www.androidcentral.com/sites/androidcentral.com/files/styles/large/public/article_images/2021/08/samsung-galaxy-tab-s7-fe.jpg,2021-08-18T18:00:03Z,"The Samsung Galaxy Tab S7 FE is here! The ""FE"" designation of its name means this mid-range tablet was designed with fan feedback in mind. Still, you might be trying to decide between the Galaxy Tab … [+4021 chars]"
4,"{'id': None, 'name': 'NPR'}",Joe Hernandez,An Olympian Sold Her Silver Medal To Fund A Boy's Surgery. The Buyer Let Her Keep It,"Maria Magdalena Andrejczyk of Poland announced she would sell her medal in the javelin throw to help fund heart surgery for an 8-month-old. A convenience store chain had the winning bid of $125,000.",https://www.npr.org/2021/08/19/1029380896/toyko-olympics-poland-silver-medal-javelin-auction-infant-heart-surgery,https://media.npr.org/assets/img/2021/08/19/gettyimages-1234534440_wide-3616102dbb34600e51967210e5e9d3b009c1955e.jpg?s=1400,2021-08-19T19:02:16Z,Poland's Maria Magdalena Andrejczyk celebrates her silver medal for the women's javelin throw at the Olympic Stadium in Tokyo on Aug. 7. She auctioned the medal to help fund heart surgery for an 8-mo… [+1381 chars]
5,"{'id': None, 'name': 'Android Central'}",Courtney Lynch,Choose your preferred Samsung Galaxy Watch 4 size,"If you're currently on the fence about whether you should buy the new Samsung Galaxy Watch 4, one of the questions you're probably asking yourself about your size preference. The good news is that among the new models, there are four different Samsung Galaxy …",https://www.androidcentral.com/what-size-samsung-galaxy-watch-4-should-you-buy,https://www.androidcentral.com/sites/androidcentral.com/files/styles/large/public/article_images/2021/08/samsung-galaxy-watch-4-classic-hands-on-7.jpg,2021-08-20T15:00:02Z,"If you're currently on the fence about whether you should buy the new Samsung Galaxy Watch 4, one of the questions you're probably asking yourself about your size preference. The good news is that am… [+3836 chars]"
6,"{'id': 'reuters', 'name': 'Reuters'}",Reuters,Marathon runner El Abbassi suspended for suspected blood doping - Reuters,"Bahraini marathon runner El Hassan El Abbassi has been provisionally suspended after returning an adverse analytical finding for a homologous blood transfusion following a test at the Tokyo Olympics, the Athletics Integrity Unit (AIU) said.",https://www.reuters.com/world/middle-east/marathon-runner-el-abbassi-suspended-suspected-blood-doping-2021-08-19/,https://www.reuters.com/resizer/cPyzRlPAPLyrRhPKhLif-gn-YY0=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/FJVR5AJ5BJKZXKRRZE7O7MJS54.jpg,2021-08-19T12:35:00Z,"Athletics - 2018 Asian Games - Men's Marathon Medal Ceremony - GBK Main Stadium, Jakarta, Indonesia - August 25, 2018 - Silver medalist El Hassan El Abbassi of Bahrain on the podium. REUTERS/Darren W… [+1255 chars]"
7,"{'id': 'techcrunch', 'name': 'TechCrunch'}",Amanda Silberling,Pokémon Unite is coming to iOS and Android on September 22,"During today’s Pokémon Presents livestream, The Pokémon Company announced that Pokémon Unite will become available for iOS and Android on September 22. The strategic battle game came out for Nintendo Switch in late July, but its arrival on mobile devices will…",http://techcrunch.com/2021/08/18/pokemon-unite-is-coming-to-ios-and-android-on-september-22/,https://techcrunch.com/wp-content/uploads/2021/08/pokemon-legends-arceus.jpeg?w=667,2021-08-18T15:51:58Z,"During today’s Pokémon Presents livestream, The Pokémon Company announced that Pokémon Unite will become available for iOS and Android on September 22. The strategic battle game came out for Nintendo… [+3474 chars]"
8,"{'id': 'reuters', 'name': 'Reuters'}",Eileen Soreng,"PRECIOUS-Gold firms as virus woes dent risk appetite, dollar strength caps gains - Reuters","PRECIOUS-Gold firms as virus woes dent risk appetite, dollar strength caps gains  Reuters",https://www.reuters.com/article/global-precious-idUSL1N2PR03R,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-20T04:25:00Z,"* Palladium on track for worst week since March 2020
* Silver headed for third straight week of decline
* Dollar hovers near over nine-month peak (Adds comments, updates prices)
Aug 20 (Reuters) -… [+1879 chars]"
9,"{'id': 'reuters', 'name': 'Reuters'}",Arundhati Sarkar,PRECIOUS-Gold eases off one-week high as dollar gains upper hand - Reuters,"* 10-year bond yields at near two-week low (Recasts, adds comments, updates prices)",https://www.reuters.com/article/global-precious-idUSL4N2PO36S,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-17T14:54:00Z,"* U.S. retail sales drop 1.1% in July
* Silver hits more than one-week peak
* 10-year bond yields at near two-week low (Recasts, adds comments, updates prices)
Aug 17 (Reuters) - Gold prices retre… [+1941 chars]"
